id,name
1,Non-vertebrates
2,"Sharks, Fishes & Other Fish-like Creatures"
3,Amphibians
4,Mammals and Their Extinct Relatives
5,Turtles
6,"Lizards, Snakes and Their Relatives"
7,Alligators and Crocodiles
8,Birds
9,"Dinosaurs, Pterosaurs and Their Extinct Relatives"
10,Primates
11,Bats
